iteracao,tempo
2765,0.0988306999206543
2770,0.09698963165283203
2775,0.10232090950012207
2780,0.09752750396728516
2785,0.09965801239013672
2790,0.09747838973999023
2795,0.1021263599395752
2800,0.09837746620178223
2805,0.10098934173583984
2810,0.10736465454101562
2815,0.10349750518798828
2820,0.10006880760192871
2825,0.107330322265625
2830,0.10199403762817383
2835,0.10548281669616699
2840,0.1060330867767334
2845,0.10540413856506348
2850,0.10328435897827148
2855,0.1081228256225586
2860,0.11203885078430176
2865,0.10593938827514648
2870,0.10580658912658691
2875,0.10817790031433105
2880,0.10537266731262207
2885,0.1076045036315918
2890,0.1070854663848877
2895,0.10779023170471191
2900,0.108978271484375
2905,0.10946106910705566
2910,0.10877537727355957
2915,0.11200237274169922
2920,0.11012673377990723
2925,0.11214017868041992
2930,0.11095714569091797
2935,0.10986208915710449
2940,0.11793041229248047
2945,0.11134910583496094
2950,0.11372852325439453
2955,0.11277270317077637
2960,0.11313796043395996
2965,0.11282205581665039
2970,0.11327719688415527
2975,0.11398530006408691
2980,0.11568617820739746
2985,0.11607575416564941
2990,0.11582589149475098
2995,0.11445474624633789
3000,0.12707018852233887
3005,0.11622262001037598
3010,0.11931395530700684
3015,0.11598324775695801
3020,0.11765575408935547
3025,0.11717557907104492
3030,0.11985921859741211
