CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 11:51:22,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/2411,650000,Parque Industrial,Mais que 400 mil,4,3,363,Sim,CENTRO,1,"R$ 1,790.63",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:52:18,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/2329,370000,Parque Industrial,350-400 mil,3,2,276,Não,CENTRO,0,"R$ 1,340.58",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:52:53,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1962,500000,Parque Industrial,Mais que 400 mil,3,2,242,Não,CENTRO,0,"R$ 2,066.12",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:53:33,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1891,500000,Parque Industrial,,3,3,363,Não,CENTRO,0,"R$ 1,377.41",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:54:35,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1198,380000,Parque Industrial,350-400 mil,2,1,363,Não,CENTRO,0,"R$ 1,046.83",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:55:16,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1121,350000,Parque Industrial,300-350 mil,3,3,242,Não,CENTRO,0,"R$ 1,446.28",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:55:49,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1070,320000,Parque Industrial,300-350 mil,3,2,484,Não,CENTRO,0,R$ 661.16,,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:56:28,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/963,800000,Parque Industrial,Mais que 400 mil,4,3,300,Não,CENTRO,0,"R$ 2,666.67",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:57:16,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/24150,420000,Vila Diniz,Mais que 400 mil,3,5,253,Sim,CENTRO,1,"R$ 1,660.08",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 11:57:49,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/23455,330000,Vila Diniz,300-350 mil,2,1,242,Não,CENTRO,0,"R$ 1,363.64",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 11:58:32,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/22574,500000,Vila Diniz,Mais que 400 mil,3,5,363,Não,CENTRO,0,"R$ 1,377.41",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 11:59:17,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/22507,1500000,Vila Diniz,Mais que 400 mil,3,4,290,Sim,CENTRO,1,"R$ 5,172.41",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 11:59:54,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/21797,370000,Vila Diniz,350-400 mil,3,2,242,Não,CENTRO,0,"R$ 1,528.93",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 12:00:22,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/20184,350000,Vila Diniz,300-350 mil,2,2,484,Não,CENTRO,0,R$ 723.14,,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 12:00:49,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/19135,300000,Vila Diniz,250-300 mil,2,1,363,Não,CENTRO,0,R$ 826.45,,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 12:01:43,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/17878,430000,Vila Diniz,Mais que 400 mil,3,3,384,Não,CENTRO,0,"R$ 1,119.79",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 12:02:34,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/1904,320000,Vila Diniz,300-350 mil,2,2,120,Não,CENTRO,0,"R$ 2,666.67",,,,"Vila Diniz, São José do Rio Preto"
6/25/2023 12:03:03,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/1723,600000,Vila Diniz,Mais que 400 mil,3,3,409,Não,CENTRO,0,"R$ 1,466.99",,,,"Vila Diniz, São José do Rio Preto"
